Title,Company,Job Description,Skills,Location,Work Type
Telugu Speaking Community Manager,Bitmesh,"We are looking for a Telugu speaker to serve our Telugu speaking users. Bitmesh.com is an online cryptocurrency asset exchange platform which allows people to buy and sell bitcoin cash, bitcoin and other mainstream crypto assets through OTC and spot exchange, also people can take a loan using crypto asset as collateral. Responsibilities involve the following: 1. Interact with our Telugu speaking users to solve their problems using our products. 2. Grow and manage local online and offline Bitmes…",,"Ahmedabad, Gujarat",Onsite
Hiring For uk shift with weekend off,Izee Manpower,Key Responsibilities: Handle inbound/outbound communications effectively during UK shift hours Provide timely and accurate support/solutions to customer queries or technical issues Maintain high levels of customer satisfaction and professionalism Document all interactions and follow company guidelines and processes Collaborate with team members and other departments to resolve issues Adapt to rotational or fixed UK shift schedules with weekends off Candidate Profile: 1 to 6 years of relevant ex…,Communication,Bengaluru,Onsite
Global Career International Voice Process,Izee Manpower,"Provide excellent customer support through inbound international voice calls. Assist customers with product inquiries, troubleshooting, and service-related questions. Maintain clear and effective communication to ensure customer satisfaction. Follow company policies and procedures during all customer interactions. Document customer issues accurately and escalate when necessary. Skills: Problem Solving, Customer Support, Effective Communication, International Voice Process Experience: 0.00-5.00 …","Scala, Excel, Excel, Communication, Problem Solving",Bengaluru,Onsite
Customer Support Executive Hindi and English Voice Day Shift,PERSONAL NETWORK,ustomer Support Executive Domestic Voice Process Location Bangalore Shift Day Shift Only No Night Shifts Qualification Any Graduate Employment Type FullTime Job Description We are hiring Customer Support Executives for a Domestic Voice Process with a leading multinational company The role involves handling customer interactions over calls and delivering excellent service while maintaining high quality and customer satisfaction standards This is an excellent opportunity for freshers and candidat…,"Excel, Excel",Bengaluru,Onsite
Customer Support Specialis,Mantras2success Consultants,"We seek a Customer Support Specialist with at least 1 year of experience and a functional understanding of Tally or other ERP. The ideal candidate will be soft-spoken, patient, and skilled in delivering exceptional customer service. Responsibilities : Provide support and assistance to customers using. Troubleshoot and resolve customer issues in a timely and efficient manner. Communicate clearly and professionally with customers via phone, email, and chat. Maintain detailed records of customer i…","ERP, Tally","Ahmedabad, Gujarat",Onsite
CUSTOMER CARE EXECUTIVE,Arise Solution,"Job Overview We are seeking a motivated Customer Care Executive to join our dynamic team in Ahmedabad. This is a full-time (Day shift ), mid-level position, perfect for professionals with a passion for delivering exceptional customer service. The role requires strong interpersonal communication and active listening skills to handle customer interactions efficiently. This individual will play a crucial role in maintaining client satisfaction and ensuring successful resolution of customer queries…",Communication,"Ahmedabad, Gujarat",Onsite
Cargowise Support Engineer,A P Moller Maersk,"Builds strong relationships with customers to gain an understanding of their business, delivers excellent customer service and maximizes sales opportunities. Roles & Responsibilities Delivers a positive customer experience for all customers and ensures a smooth execution of the end to end shipment lifecycle by working closely with the customer and internal teams. Ensures all products and services are sold to the customer to maximize profitability. Builds strong relationships with all stakeholde…","Excel, Excel",Bengaluru,Onsite
International voices process,Tech Mahindra Limited,Job description TECH MAHINDRA - HIRING FOR INTERNATIONAL VOICE PROCESS - EXPERIENCED Key Responsibilities: - Voice Process/Chat Process - Provide excellent customer service to clients across different time zones - Resolve customer queries effectively and efficiently - Demonstrate strong communication and interpersonal skills LOCATION : Mumbai NOTE- ONLY MUMBAI CANDIDATES CAN APPLY Eligibility: - Graduate/Undergraduate degree - Freshers with excellent communication skills can apply (no prior exp…,"Excel, Excel, Communication","Mumbai, Maharashtra",Onsite
Customer Support Executive (Voice),IMR Soft LLC,"We’re Hiring: Inbound Process Associates | Bengaluru Fresher's preferred who are ready to join immediately. We are looking for enthusiastic and customer-focused individuals to join our team as Inbound Process Associates in Bengaluru. If you’re a graduate with good communication skills and looking to start or grow your career in customer support, this is a great opportunity! Role Overview You will be handling inbound customer interactions across telecom-related processes such as Airtel Black, B…",Communication,Bengaluru,Onsite
Urgent hiring For US travel customer support (voice process),Sharda Consultancy Services,"Voice Support – US Travel Process: Handle inbound and outbound voice calls to assist US-based customers with post-booking queries, itinerary changes, cancellations, refunds, and general support. Issue Resolution: Provide timely and effective resolutions to customer concerns related to flights, hotels, or car rentals. Ensure high levels of customer satisfaction. Travel Knowledge: Use GDS or booking platforms to assist with re-issuance, date changes, and fare rules. Guide customers through travel…",,"Gurgaon, Haryana",Onsite
Front Desk Executive,Competitive Careers,"Job Description: Front Desk Executive in an Overseas Education Institute Position: Front Desk Executive Industry: Overseas Education Location: ASHRAM ROAD AND THALTEJ AHMEDABAD LOCATION Job Summary: The Front Desk Executive plays a crucial role in the smooth functioning of an overseas education institute by serving as the first point of contact for students, parents, and other stakeholders. They are responsible for providing excellent customer service, managing inquiries, coordinating administr…","Excel, Excel","Ahmedabad, Gujarat",Onsite
Vendor Support Specialist,Cloudxtreme Technologies Private Limited,Role & Responsibilities: Serve as the primary point of contact for vendor-related inquiries and support. Monitor vendor performance and ensure compliance with SLAs. Coordinate with internal departments to resolve vendor-related issues. Track and report on vendor metrics and performance indicators. Assist in onboarding new vendors and maintaining vendor documentation. Ensure timely processing of vendor invoices and payments. Collaborate with procurement and legal teams on vendor contracts and re…,,"Hyderabad, Telangana",Onsite
Consultant - TAX - National - TAX - PAS - Mobility Core,Ernst and young LLP,"TKey Responsibilities Handle expatriate tax matters and mobility-related compliance Support global immigration processes and documentation Collaborate with cross-functional teams for seamless client service Skills & Qualifications Qualification: Relevant academic background (CA, MBA, etc.) preferred Experience: 2–3 years in mobility or immigration services Strong understanding of expat tax and compliance frameworks Skills: International Taxation Experience: 2.00-5.00 Years",Taxation,Bengaluru,Onsite
Customer Service Representative,USP,"Who is USP? The U.S. Pharmacopeial Convention (USP) is an independent scientific organization that collaborates with the world's top authorities in health and science to develop quality standards for medicines, dietary supplements, and food ingredients. USP's fundamental belief that Equity = Excellence manifests in our core value of Passion for Quality through our more than 1,300 hard-working professionals across twenty global locations to deliver the mission to strengthen the supply of safe, q…","Excel, Excel","Hyderabad, Telangana",Onsite
Inbound And Outbound Voice Process,Credicus Business Services,"We are seeking a versatile Voice Process Specialist to manage both inbound and outbound customer interactions. The ideal candidate will be responsible for handling a wide range of customer service inquiries, resolving issues, and conducting proactive outreach to meet business objectives. Roles and Responsibilities Handle inbound calls from customers, addressing their questions, concerns, and service requests with professionalism and efficiency. Make outbound calls to follow up on customer inqui…",,"Thane, Maharashtra",Onsite
E-commerce Business Manager,Sahithi Siripurapu,"Job Title : E-commerce Business Manager Industry : E-commerce Responsibilities : Manage all aspects of e-commerce operations, including order fulfillment, customer service, inventory management, and logistics. Develop and implement strategies to improve e-commerce operations and drive sales growth. Monitor key performance indicators (KPIs) and identify areas for improvement. Manage a team of e-commerce professionals, including customer service representatives, warehouse staff, and shipping pers…",,India,Onsite
Customer Success Specialist - US,Hotelogix India Private Limited,"Job Description - CSS Experience Required: 3 - 5yrs Shift Time: 6pm to 3AM Objectives of this Role Own overall relationship with assigned clients, which includes managing on-boarding, implementation, training, increasing adoption, ensuring retention, and high levels of customer satisfaction To better customer adoption by meeting up upsell/cross sell targets Establish a trusted and strategic advisor relationship to help drive continued value of our products and services Maintain and develop cust…","Rust, CSS","Noida, Ghaziabad",Onsite
Customer Support Specialist,Glorious Hr Services,Roles & Responsibilities Handle customer queries through inbound/outbound calls in an international process. Provide accurate information and resolve customer concerns in a professional manner. Maintain a high level of customer satisfaction by delivering quality service. Meet daily/weekly performance targets related to call quality and productivity. Document customer interactions and follow standard operating procedures. Collaborate with the team to meet process KPIs and ensure smooth workflow.…,,Bengaluru,Onsite
Head Customer Experience,Financial Services,"Key Result Areas Supporting Actions Measurement of the customer experience Identify KPIs (direct or indirect) to be measured to get a reasonable measure of the customer experience. Namely these can be NPS, TATs, Contact centre complaints analysis, FTRs, Social media escalations, App ratings and reviews on Apple and Android app stores, complaints to ombudsman/regulator etc. Developing a mechanism for getting direct customer feedback at the various stages of the customer journey – NPS (Mission Ha…","Scala, Android",India,Onsite
Customer Support Executive,Ebek Language Laboratories pvt ltd,"Malayalam and Hindi-speaking Customer support executives Good in English communication freshers also welcome Outbound call center exp preferred work location - Chennai - In-office work Skills:- Communication Skills, Effective communication, English Proficiency and Customer Relationship Management (CRM)","CRM, Communication","Chennai, Tamil Nadu",Onsite
Lead-Central Operations,Prudential,"Prudential’s purpose is to be partners for every life and protectors for every future. Our purpose encourages everything we do by creating a culture in which diversity is celebrated and inclusion assured, for our people, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and we support our people’s career ambitions. We pledge to make Prudential a place where you can Connect, Grow, and Succeed. At Prudential Health India (PHI),…",,India,Onsite
Customer Service Representative,Skyway Solution,"We are seeking a Customer Service Representative to be the primary point of contact for our customers. This role is essential for providing outstanding service, resolving inquiries, and ensuring a positive and seamless customer experience. Roles and Responsibilities Handle customer inquiries and complaints through various channels, including phone, email, and social media. Provide accurate, valid, and complete information by using the right methods and tools. Identify and assess customers' need…",,"Mohali, Punjab",Onsite
Sales Process | Customer Support | Voice,Glorious Hr Services,Roles & Responsibilities Handle customer queries through inbound/outbound calls in an international process. Provide accurate information and resolve customer concerns in a professional manner. Maintain a high level of customer satisfaction by delivering quality service. Meet daily/weekly performance targets related to call quality and productivity. Document customer interactions and follow standard operating procedures. Collaborate with the team to meet process KPIs and ensure smooth workflow.…,,Bengaluru,Onsite
Customer Care Executive,EmHealth,About the Job Emhealth is an aggregator in the health care industry. We provide diagnostic and consultation services. We require customer care executives to work in the shift from 1 pm till 10 pm. Attend to calls from customers and help them in fixing appointments Willing to work in shift timings from 1 pm till 10 pm Fluency in English and Tamil. Knowledge of kannada and / or hindi will be added advantage. Promote our services to customers and other callers,,"Chennai, Tamil Nadu",Onsite
Kotak 811 Voice Process Telecaller | Banking Sector,Credicus Business Services,"Handle customer queries with good communication skills in Hindi and average English Provide support and assistance through voice calls Maintain professionalism and ensure customer satisfaction Adhere to rotational week off schedule Utilize pick-up and drop facility from Thane station Eligibility Criteria: Minimum qualification: HSC Pass to any Graduate Freshers can apply Good Hindi communication and average English required Work Details: Full-time, on-site role Rotational week off Pick-up and d…",Communication,"Mumbai, Maharashtra",Onsite
Trainer (Customer Service),1point1,"Key Responsibilities Handle complex inbound processes with confidence and efficiency Communicate fluently in both written and spoken English Manage difficult customer scenarios and challenging situations effectively Train and support new hire (NH) batches for smooth onboarding Implement strategies to reduce learning curves and improve new hire performance Airline process experience will be considered an added advantage Skills: Communication Skills, Conflict Resolution, Airline Process Experienc…",Communication,"Gurgaon, Haryana",Onsite
Assistant Manager-Customer Service,Careerfit Ai,"Team Leadership and Management : Supervision : Providing guidance, direction, and leadership to a team of customer service representatives. Training and Development : Training new team members, conducting ongoing training sessions, and fostering skill development. Performance Monitoring : Tracking individual and team performance metrics, providing feedback, and conducting performance reviews. Conflict Resolution : Addressing employee concerns, conflicts, and performance issues in a timely and e…",Leadership,"Mumbai, Maharashtra",Onsite
Utility Bill New Associate,Accenture,"Skill required: Backoffice - Service Desk Non-Voice Support Designation: Utility Bill New Associate Qualifications: Any Graduation Years of Experience: 0 to 1 years About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s larges…",,India,Onsite
VOICE Process @ 9968804786 @ Gurgaon @ 38kctc,Sana Search International,"Job Description Eligibility : Graduate fresher od Experience / U.G (with minimum6 months of International voice experience with excellent communication skills. Eligible candidates can send resume at sana.searchinternational@gmail.com or whatsapp at ADIBA @9968804786 Job Description: Provide Superior Customer Experience on Calls to customer Resolve all Customer Queries and Follow Established Procedures as Appropriate. Provide alternatives and apply Superior Service No, Call Handling Skills To En…","Excel, Excel, Communication","Gurgaon, Haryana",Onsite
CSA(Customer Service Associate),[email protected],"Job Responsibilities Job Responsibilities for CSA (Customer service Associate) will be :- After login with Alloted Credentials CSA will Get Custom Call request and need to receve & connect with customers Handle and manage Costumer calls and provide information with satisfaction Skills Required Skills Required for CSA (Customer service Associate) profile :- Minimum 12th pass, Having Minimum 6 month Telecalling Experience Basic Computer Knowledge, Telecalling and Costumer handling Skills, Able to…",,"Jabalpur, Madhya Pradesh",Onsite
Manager - Open Market Agency,HDFC ERGO General Insurance,"To drive the Agency premium in the location for Health Business · To monitor and drive Agency business of DO locations through: · Agency Recruitment · Agent Activation · Agent Productivity · Agent Engagement Matrix · To drive the key agency matrix and uniformed practices across Digital Office (DO) locations · Achieve the top line and bottom line as per defined matrix · Handle 6-8 Sales Managers in the region. · Provide strategic inputs from geographical perspective and periodically review, desi…",Recruitment,India,Onsite
Key Account Manager,BlueCloud,"We at ZOOP. ONE are looking for a technically savvy Key Account Manager who possesses a strong drive for results. Duties of Key Account Manager will include a broad range of tasks such as maintaining ongoing customer relationships and networking, implementing success programs, contributing to sales, on boarding and training clients, and minimizing churn. You should also be able to provide insights on client-to-business interactions, improve customer experience through product support, and handl…",,"Pune, Maharashtra",Onsite
Hiring For Technical Support Executive Role,Ienergizer,"Graduate with Excellent communication skills required in ENGLISH. WORK FROM OFFICE Job Responsibilities: - 1. Resolve customer complaints via Call. 2. Responding promptly to customer inquiries. 3. Ensure customer satisfaction and provide professional support. 4. Proper resolution to customer Queries. Job Requirements: Flexibility to work in 24/7 environment Excellent Communications skills required in ENGLISH FRESHERS CAN APPLY Graduation Mandatory Skills: Outbound Process, Customer Care, Inboun…","Excel, Technical Support, Excel, Communication","Noida, Ghaziabad",Onsite
Client Services Project Analyst,Indiris Data Services,"At Epiq , your work contributes to complex, global legal outcomes. You’ll join a values‑driven community where integrity guides decisions, relentless service sets the bar, and we thrive on big challenges together. We invest in your growth with enterprise‑wide learning and mobility. We celebrate who you are, and we respect life beyond work with flexibility that’s recognized externally. Enabled by modern platforms and AI, you’ll do the most meaningful work of your career and see your impact at sc…",,India,Onsite
Process Executive Data,Praveza Consultancy Private Limited,"Company Name: Cognizant Title: Process Executive Data Job Type: Full Time, Night Shift, Work from Office Location : Hyderabad Year of Experience: Fresher Salary : 18000/month Location: Teamlease Digital Private Limited Block 1,Level,IKeva My Home Hub, 5,Madhapur Road, Patrika Nagar, HITEC City,Hyderabad,Telangana-50008. Landmark: Metro Station Hitech City. Communication must be EXCELLENT. Same day we will come to know about the select details. So candidate must carry their Documents (PAN, Aad…","Excel, Excel, Communication","Hyderabad, Telangana",Onsite
Hindi Telecaller,Unknown,Job Description Hindi Telecalling We are hiring for Telecalling Job in Delhi for banking Process and telecom customer service process This is Full Time job Should have good communication and selling skills,Communication,"Delhi, India",Onsite
Customer Support Executive (Crypto),Fusion CX,"Customer Support Executive – Live Chat (Crypto Job) – Bangalore, India Are you looking for live chat support jobs in Bangalore or BPO jobs in Bangalore within the fast-growing cryptocurrency industry? Fusion CX is hiring Customer Support Executives – Live Chat to support a global cryptocurrency exchange platform. This opportunity is ideal for candidates with experience in chat-based customer support, strong typing speed, and an interest in cryptocurrency, blockchain technology, and digital fina…",,Bengaluru,Onsite
Community Associate,BHIVE Workspace,"The Community Associate will play a key role in enhancing BHIVEs value proposition by curating a dynamic, engaging, and vibrant coworking environment that fosters client satisfaction and retention. By organizing community events, maintaining an inspiring atmosphere, and driving creative initiatives, this role will directly impact the member experience, brand reputation, and overall community-building efforts. Key Responsibilities: Member Engagement: Build strong relationships with members to un…",Hive,India,Onsite
Customer Support Executive | International,Teleperformance,"Join Teleperformance – Where Excellence Meets Opportunity! Teleperformance is a leading provider of customer experience management, offering premier omnichannel support to top global companies. Our diverse service locations, including on-site and work-at-home programs, ensure flexibility and broad reach. Why Choose Teleperformance? We emphasize the importance of our employees, fostering enduring relationships within our teams and communities. Our dedication to employee satisfaction distinguishe…","Excel, Excel",India,Onsite
Customer Service Associate,Sanda Group,"Company Overview Sanda Group is a dynamic organization in the IT Services and IT Consulting industry, committed to transforming lives by connecting individuals and communities through its diverse range of products and services. With its headquarters in Mumbai, Sanda Group employs between 501-1000 individuals who contribute to its mission of personal and professional connection. Learn more at sandagroup.com . Job Overview Sanda Group is seeking a motivated Customer Service Associate with a fresh…",,"Mumbai, Maharashtra",Onsite
Customer Experience Associate,Zerodha Asset Management Pvt Ltd,"Zerodha Fund House Enabling the Next Generation of Indian Investors At Zerodha Fund House, we are redefining the mutual funds landscape to create simple, transparent, and cost-effective investment solutions for millions of Indians. Built by the pioneers behind Zerodha Broking Ltd and Case Platforms Ltd, we are on a mission to empower the next 10 crore investors in India to participate in and grow the capital markets. We are expanding our team and seeking passionate, analytical, and detail-orien…",,Bengaluru,Onsite
Customer Support Executive ( HR MANSI SEN ),Ienergizer,"Ienergizer HiringJob Title: Customer Support Executive || HR MANSI SEN Location: iEnergizer, Noida Sector 60 Work Mode: Work from Office Shift: Rotational (6-day workweek) Interview Mode: Walk-in Joining: Immediate Eligibility Criteria: Education: Undergraduates/ Graduates can apply. Experience: Freshers & experienced candidates can apply Compensation: CTC: 20k to 23k Skills: Customer Support, Customer Handling, Customer Support Executive, Voice Process, Customer Service Experience: 1.00-3.00 Y…",,"Noida, Ghaziabad",Onsite
Senior Manager- User growth (Retention),Porter,"About Porter At Porter , we’re on a mission to move a billion dreams by building the most trusted, efficient, and seamless logistics platform in India. We started in 2014 with a simple vision — to transform intra-city logistics through technology. Today, Porter is a late-stage startup , serving millions of users across 21 cities , backed by marquee investors like Tiger Global , Lightrock , and Sequoia . We solve real-world problems — from empowering micro-entrepreneurs and truck owners, to opti…",Rust,Bengaluru,Onsite
Customer Support,Telyport technologies pvt ltd,Provide information of Products / Services / Offers to customers. Handling inbound calls & outbound calls Understand customer need Solve customers query over the phone Skills:- Communication Skills and Effective communication,Communication,India,Onsite
Assistant Manager - Customer Relationship Management - Mumbai - Lower Parel - JM,Tata Capital,"Description Job Purpose The Associate - Customer Relationship Manager supports the Customer Relationship Management team by assisting with initiatives aimed at enhancing customer satisfaction and loyalty. This role involves managing customer feedback, supporting the administration of surveys, tracking Net Promoter Scores (NPS), and ensuring that customer issues are addressed effectively. The Associate will contribute to process improvements and collaborate with various departments to ensure a s…",,"Mumbai, Maharashtra",Onsite
Grievance Advisor,PhonePe,"About PhonePe Limited: Headquartered in India, its flagship product, the PhonePe digital payments app, was launched in Aug 2016. As of April 2025, PhonePe has over 60 Crore (600 Million) registered users and a digital payments acceptance network spread across over 4 Crore (40 million) merchants. PhonePe also processes over 33 Crore (330 Million) transactions daily with an Annualized Total Payment Value (TPV) of over INR 150 lakh crore. PhonePe’s portfolio of businesses includes the distribution…",,Bengaluru,Onsite
Data Entry Associate Analyst - HIH - Evernorth,Cigna,"Skills General computer knowledge. Customer service focused with excellent verbal and written communication skills. Must be detail oriented. Ability to think critically and problem solve. Ability to learn and adapt quickly in a fast-paced environment. Ability to multi-task. Ability to learn and navigate internal applications. Ability to work independently. Understanding basic healthcare terminology is helpful but not required. Experience using Microsoft Office products. Skills: Ms Office, Probl…","Excel, Excel, Communication","Hyderabad, Telangana",Onsite
Voice Process Executive,Panacorp Software Solutions,"Roles and Responsibilities: Customer Service Executives are required to answer incoming calls from callers for various reasons- answer inquiries, resolve complaints, requests and provide information. Identifying and assessing customers’ needs to achieve satisfaction. The target is to ensure excellent service standards, respond efficiently to customer inquiries and maintain high customer satisfaction. Handle customer complaints, provide appropriate solutions and alternatives within the time limi…","Excel, Excel",India,Onsite
Back Office Executive,Unknown,"Data entry Job, Mutual Fund application processing. Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.Data entry Job, Mutual Fund application processing.",,"Pune, Maharashtra",Onsite
Sky CA Classic - RM-Sky Channel-VRM - CA,Kotak Mahindra Bank,"Description As a CEC Relationship Manager – VRM, you will be responsible for managing outbound customer interactions for Wealth and Privy clients through the virtual relationship channel. This role focuses on delivering superior service, driving product sales, and enhancing customer engagement through structured communication and personalized banking solutions. You will be trained across multiple banking products including cards, liabilities, and assets, enabling you to function as a universal …",Communication,"Thane, Maharashtra",Onsite
Fresher | International Voice Process,JobsFlix,"Job Overview We are hiring Fresher in the International Voice Helathcare Process, based in Bangalore Urban. This is a full-time position designed for recent graduates or those entering the workforce for the first time. As an entry-level role, it offers the perfect opportunity to begin your career with minimal prior experience. To succeed in this position, strong English communication and customer service skills are essential. Qualifications and Skills Strong proficiency in English communication…",Communication,India,Onsite
Customer Support Executive,LTM,"We’re Hiring | Customer Support Specialist We are currently looking for passionate and customer‑centric professionals to join our growing team as Customer Support Specialists. Location: Bangalore (Work from Office) Experience: 1–3 Years, should have Excellent Communication with International Voice Process Experience ⏳ Notice Period: Immediate joiners / Serving notice period Education: Bachelor’s degree or higher Key Responsibilities ✅ Work in a 24×7 international customer support environmen…","Excel, Excel, Communication",Bengaluru,Onsite
Customer Service Executive,EchPeak Solutions,"This is a full-time on-site role for a Customer Service Executive at EchoPeak Solutions. The Customer Service Executive will be responsible for managing customer inquiries, resolving issues, ensuring customer satisfaction, and maintaining customer relationships. Qualifications Customer Satisfaction and Customer Support skills 6 months - 2 years experience in customer service roles Strong communication and problem-solving skills Ability to work effectively in a team Knowledge of CRM systems is a…","CRM, Communication",India,Onsite
Customer Support Executive,Wings Global Services,"Job description ob Title: Customer Support Executive - PUNE (KHARADI) | Up to 35,000/month Job Description: 0-5 years of experience in BPO industry (domestic calling) preferred but not mandatory. Outbound Process Insurance Sales Job Role & Responsibilities: Handle inbound/outbound calls customers Provide exceptional customer service & resolve queries efficiently Ensure high customer satisfaction with a professional & friendly approach Maintain accurate records and follow company processes Eligi…",,"Pune, Maharashtra",Onsite
Volunteer Online as a Conversation Partner,ENGin,"ENGin pairs English-fluent volunteers from around the world with Ukrainian learners for weekly online conversation practice Participants are matched 1-on-1 based on preferences, interests, and availability to ensure an effective and mutually enjoyable communication experience. After a match is made, ENGin supports learners and volunteers throughout their participation in the program with tips, resources, and problem resolution. We screen every learner and volunteer to ensure their fit for the p…",Communication,India,Onsite
Compounder,Geetanjali Medical Centre,Able to attend to new patients in ward Insert IV cannula and give iv drugs Monitoring of patient vitals Management of reception and billing Salary will depend upon experience Must be comfortable for working in night hours.,,"Delhi, India",Onsite
Client Services Rep 3,IQVIA,"Mumbai, India | Full time | Hybrid | R1530254 Job Overview Under broad guidance, ensures clients obtain maximum value from products and services in order to facilitate a positive and productive long-term relationship, either broad client or offering focused. Essential Functions Ensures fulfillment of contract specifications and ad-hoc client requests to build client satisfaction, under supervision. Assists team members to build, establish and maintain effective business relationships with clien…",,"Mumbai, Maharashtra",Hybrid
Chat Customer Service Specialist,Citigroup,"Engage with customers through online chat and messaging platforms, responding to inquiries, providing information, offering assistance & provide a comprehensive resolution to the complaints/queries Assist customers in navigating our products or services, addressing their questions, concerns, and technical issues. Troubleshoot and resolve customer problems, escalating complex issues to higher levels of support when necessary. Maintain a high level of professionalism and customer service etiq…",Scala,"Pune, Maharashtra",Onsite
Hiring For Customer Service Executive In Thane-Health Indsutry,Lisa HR Consultancy,"Job Title: Customer Service Executive Location: Thane, Mumbai Position: Customer Service Executive Job Summary: The Customer Service Executive is responsible for delivering exceptional service to customers by handling inquiries, resolving issues, and ensuring customer satisfaction. This role requires strong communication skills, problem-solving abilities, and a customer-first mindset. Key Responsibilities:  Respond to customer queries via phone, email, chat, or social media in a timely and pro…",Communication,"Mumbai, Maharashtra",Onsite
Customer Service Executive Home Based,Unknown,You are currently looking out for Customer Support Executives for Voice Email Chat processes in BPO KPO domain with a salary of up to 60 000 plus annual bonus The role offers day shifts for candidates with good command over English communication skills The job also includes fixed shifts with weekends off and transport pick drop facilities Virtual interview rounds are conducted for the selection process Freshers can also apply for this position and candidates with experience in International cal…,Communication,India,Onsite
Field Executive - Customer Experience - Ambattur(Chennai),Rentokil Initial,"About Rentokil PCI Rentokil PCI is the leading pest control service provider in India. A Rentokil Initial brand, Rentokil PCI was formed in 2017 through a joint venture (JV) between Pest Control India, the number one pest control company in India, and Rentokil, the world’s leading pest control brand. Rentokil PCI aims to set new standards for customer service having operations across 300 locations in India. For more details: https://www.rentokil-pestcontrolindia.com About the Role: The Executiv…",,India,Onsite
Urgent Hiring US Collections Agents (International Voice,Sharda Consultancy Services,Handle outbound and inbound calls to US-based customers for collections and recovery of overdue payments. Communicate professionally and empathetically to negotiate payment plans and settlements. Verify customer information and update account details accurately in the system. Maintain detailed records of all collection activities and customer interactions. Meet or exceed daily and monthly collection targets and KPIs. Coordinate with internal teams to resolve disputes and escalate complex cases …,Scala,"Noida, Ghaziabad",Onsite
Customer Service Executive,GOOD VIBES PLACEMENT SERVICES,Position Customer Support Specialist International Voice NonVoice Location Mohali Sector 75 Salary CTC Rs 20000 to Rs 36000 Mode of Interviews FacetoFace Working Model Work From Office Working Days 5 5 Working days with rotational shifts and Weekly Offs Qualification 102 Graduate with excellent verbal written communication skills Computer Knowledge good typing speed Experienced Candidate with prior experience in customer service would be preferred Freshers can also apply Cab Service Cab service…,"Excel, Excel, Communication","Mohali, Punjab",Onsite
Customer service WFH,Advanced Kcc,"Responsibilities: Answer customer inquiries via phone, email, and chat in a timely and professional manner Resolve customer complaints and issues with empathy and patience Collaborate with other departments to provide the best customer experience Maintain accurate customer records and documentation Continuously seek ways to improve the customer experience Requirements: High school diploma or equivalent Excellent verbal and written communication skills Ability to multitask and work in a fast-pac…","Excel, Excel, Communication","Delhi, India",Remote
"Agent, Customer Service Representative",Bill Gosling Outsourcing,"Join a Team That’s Passionate About Making Lives Better! At Bill Gosling Outsourcing, we believe that success starts with an amazing team. We are a global leader in outsourcing solutions, we focus on making lives better, one connection at a time. We provide tailored solutions to businesses around the globe, specializing in customer care, sales, and financial services. We’re looking for enthusiastic, driven individuals to join our dynamic work environment where fun meets results ! Interacts with…",,India,Onsite
Collection Executive - Retail MFB - Collections - Vadodara - Sthapatya - J Grades,Tata Capital,Description Key Objective of the Job: • To drive the collection process of receivables across multiple sources thereby reducing the total outstanding and the associated average number of days while continuing to make efforts to keep the client partnership intact. Major Deliverables: • Correspond with multiple sources to negotiate payment schedules that suit the customer’s current financial situation while still satisfying the debt. • Keep track of the portfolio for specific buckets for the assi…,,"Gujarat, India",Onsite
Team Leader Call Centre,Refining Skills Academy,"Team Leader Call Centre Location: Muddenahalli, Chikkaballapur, Karnataka Experience: Minimum 35 years (with 1 year in a team lead/supervisory role) Employment Type: Full-time | 6-day workweek Why Join Us? At SMSIMSR , we are not just answering callswere connecting people to compassionate care. As a Call Centre Team Leader , you will lead a dynamic front-line communication team handling patient queries, appointment bookings, feedback, and support. This is your opportunity to ensure an exception…",Communication,India,Onsite
Corporate Ticketing,EaseMyTrip.com,"We are looking for a person who has an understanding of PNR Creation, Issuance, Reissuance, Changes/Cancellation, Rescheduling and a good knowledge on GDS. This dynamic position requires a blend of customer service excellence and revenue generation acumen. Roles & Responsibilities: ● Handle the end-to-end ticketing process, including PNR Creation, Issuance, Re-issuance, refunds and cancellation. ● Execute changes, rescheduling and modification as per customer requirements. ● Coordinated effecti…","Excel, Excel","Noida, Ghaziabad",Onsite
Customer Service Representative,Paisabazaar Financial Services Limited,In this role as a Customer Service Representative at Paisabazaar com you will Respond to customer queries through phone email and chat channels Resolve issues promptly and professionally Maintain accurate records of customer interactions Coordinate with internal teams to ensure seamless resolutions Collect feedback and propose enhancements to customer service procedures Paisabazaar com is Indias largest online marketplace for financial products attracting over 30 million customers monthly from …,,India,Onsite
Agency Manager,HDFC ERGO General Insurance,"To drive the Agency business in for Health business To monitor and drive Agency business of through: Agency Recruitment Agent Activation Agent Productivity Agent Engagement Matrix To drive the key agency matrix and uniformed practices across locations Achieve the top line and bottom line as per defined matrix Provide strategic inputs from geographical perspective and periodically review, design and implement plans Driving renewals as per target MIS Reporting and Branch Handling",Recruitment,India,Onsite
